id,time,team,source,size,odds,book,sport,date,timestamp,market,over/under,Line #,implied_prob,r,fd_odds,fd_odds_5s,fd_odds_10s,dk_odds,dk_odds_5s,dk_odds_10s,br_odds,br_odds_5s,br_odds_10s,czr_odds,czr_odds_5s,czr_odds_10s,es_odds,es_odds_5s,es_odds_10s,ka_odds,ka_odds_5s,ka_odds_10s,mgm_odds,mgm_odds_5s,mgm_odds_10s,li_odds,li_odds_5s,li_odds_10s,nv_odds,nv_odds_5s,nv_odds_10s,fv_odds,fv_odds_5s,fv_odds_10s
2116843,2/27/2026 19:06,nava,ws,100,4000,f,ts,2/27/2026,14:06:16,0,,,0.0244,l,0.0244,0.0286,0.0714,0.0581,0.0581,0.0625,0.0952,0.0952,0.1,0.1,0.1,0.1,0.0714,0.0714,0.0714,0.064,0.064,0.0746,0.0909,0.0909,0.0952,,,,,,,0.04,0.0401,0.0471
2085210,2/22/2026 2:22,hern,ws,300,1400,d,ts,2/21/2026,21:22:01,0,,,0.0667,l,0.122,0.122,0.122,0.0667,0.0794,0.0794,0.1429,0.1538,0.1538,0.1429,0.1429,0.1429,0.0909,0.1053,0.1053,0.0958,0.117,0.117,,,,,,,,,,0.0831,0.0901,0.0901
2088553,2/22/2026 17:36,chir,ws,100,1880,d,ts,2/22/2026,12:36:21,0,,,0.0505,l,0.1053,0.1053,0.1053,0.0505,0.0633,0.0633,0.125,0.1333,0.1333,0.1,0.0909,0.0909,0.0909,0.0909,0.0909,0.0958,0.0958,0.0958,,,,,,,,,,0.0662,0.0693,0.0693
2069435,2/21/2026 0:35,tiaf,ws,100,1420,d,ts,2/20/2026,19:35:31,0,,,0.0658,l,0.1053,,0.1333,0.1,,0.137,0.125,,0.1538,0.1538,,0.1538,0.1111,,0.1429,0.1064,,0.159,,,,0.1439,,0.1538,,,,0.0842,,0.1103
2088537,2/22/2026 17:21,chir,ws,1200,1160,d,ts,2/22/2026,12:21:24,0,,,0.0794,l,0.1429,,0.1667,0.0794,,0.0926,0.1639,,0.1786,0.1429,,0.1538,0.1176,,0.1379,0.1276,,0.1486,,,,,,,,,,0.1029,,0.1212
2092782,2/23/2026 18:48,haly,ws,1600,1660,d,ts,2/23/2026,13:48:37,0,,,0.0568,l,0.125,0.1333,0.1333,0.0568,0.0971,0.101,0.1429,0.1667,0.1667,0.1111,0.1333,0.1333,0.1053,0.1053,0.129,0.1276,0.1276,0.1379,,,,0.1198,0.1307,0.1282,,,,0.0825,0.097,0.1005
2095446,2/24/2026 23:16,yuay,ws,2500,880,d,ts,2/24/2026,18:16:26,0,,,0.102,w,0.1429,0.1667,0.1667,0.102,0.1316,0.1316,0.1739,0.1961,0.2041,0.1818,0.1818,0.2,0.1379,0.1538,0.1538,0.1486,0.1905,0.1802,,,,0.1724,0.1802,0.1818,,,,0.1211,0.1408,0.1433
2130746,2/28/2026 23:19,krua,ws,4300,900,c,ts,2/28/2026,18:19:12,0,,,0.1,l,0.1333,0.1,0.1,0.137,0.0781,0.0781,0.3333,0.3333,0.3333,0.1,0.1,0.1,0.1538,0.0909,0.0909,0.1486,0.117,0.1064,0.1429,0.1053,0.1053,,,,,,,0.1339,0.1033,0.1021
2060131,2/19/2026 3:34,giro,ws,3800,1300,e,ts,2/18/2026,22:34:15,0,,,0.0714,l,0.1667,,,0.1689,,,0.1887,,,0.1111,,,0.0714,,,0.159,,,,,,0.1212,,,,,,0.1168,,
2070973,2/21/2026 4:11,agst,ws,1800,800,e,ts,2/20/2026,23:11:15,0,,,0.1111,l,0.1724,0.1724,0.1724,,,0.1351,0.1818,0.1818,0.1667,0.1333,0.1333,0.1333,0.1111,0.1111,0.1111,0.159,0.159,0.159,,,,0.146,0.1449,0.1449,,,,0.1247,0.1244,0.1193
